alloy_id,Cr_wt,Ni_wt,Mo_wt,V_wt,C_wt,anneal_temp_C,anneal_time_h,process_type,yield_strength_MPa
AL2074,4.847,10.078,2.578,0.236,0.486,633.7,5.17,C,407.9
AL2075,15.674,11.734,1.524,0.523,0.186,567.0,10.78,C,662.2
AL2076,7.074,11.874,2.314,0.276,0.547,668.9,10.26,A,289.3
AL2077,9.666,2.486,3.679,0.882,0.436,467.2,9.13,B,412.9
AL2078,6.694,10.325,0.458,0.106,0.712,664.0,1.89,C,383.8
AL2079,0.207,7.912,1.926,0.391,0.54,391.0,11.16,C,107.7
AL2080,6.49,4.897,1.383,0.481,0.383,608.5,10.66,A,372.2
AL2081,17.787,3.478,0.238,0.492,0.055,521.9,1.65,A,634.1
AL2082,5.773,1.628,2.808,0.968,0.2,367.5,6.21,C,216.3
AL2083,2.493,3.057,,0.251,0.86,492.2,6.87,A,563.5
AL2084,1.722,3.928,0.922,0.126,0.16,602.5,4.25,C,424.0
AL2085,6.596,7.308,1.003,0.116,0.341,300.7,2.21,B,354.2
AL2086,14.697,6.672,3.288,0.098,0.564,323.5,8.07,B,398.1
AL2087,11.227,8.791,2.13,0.605,0.295,525.9,4.87,A,771.3
AL2088,6.737,1.665,1.627,0.352,0.302,475.1,9.31,B,347.3
AL2089,10.943,1.764,2.681,0.559,0.745,384.6,4.51,A,371.8
AL2090,15.894,5.814,3.3,0.875,0.485,345.4,11.01,C,271.9
AL2091,12.325,11.506,1.576,0.703,0.307,543.2,5.73,B,864.5
AL2092,5.544,4.181,2.204,0.018,0.734,528.2,11.26,C,671.3
AL2093,12.146,8.455,2.024,0.317,0.62,603.9,11.67,C,507.2
AL2094,10.367,8.342,3.282,0.38,0.277,636.4,2.3,A,498.8
AL2095,4.986,5.127,2.188,0.194,0.264,664.3,2.8,A,328.2
AL2096,1.736,4.754,1.829,0.677,0.997,377.5,6.17,A,288.1
AL2097,5.051,0.279,1.625,0.31,0.522,694.3,11.02,B,221.5
AL2098,4.602,11.936,,0.069,0.175,659.8,10.49,B,329.6
AL2099,5.694,4.099,2.118,0.323,0.442,442.1,4.83,B,393.4
AL2100,4.303,2.311,1.105,0.784,0.542,502.9,5.23,A,614.0
AL2101,5.741,9.413,3.126,0.616,0.704,494.8,1.53,B,713.5
AL2102,11.441,6.74,0.956,0.09,0.379,308.3,11.03,A,242.5
AL2103,1.225,2.539,,0.138,0.496,459.5,7.55,C,264.8
AL2104,0.23,5.329,3.537,0.87,0.249,444.0,11.67,B,223.1
AL2105,11.684,4.798,2.932,0.471,0.266,355.7,6.26,A,375.9
AL2106,12.215,5.083,0.245,0.179,0.347,640.5,8.04,C,320.9
AL2107,8.533,8.136,0.531,0.776,0.863,504.0,,A,795.0
AL2108,1.934,0.458,3.09,0.756,0.57,687.6,3.46,A,252.6
AL2109,1.861,6.254,2.667,0.08,0.509,666.4,1.59,A,327.3
AL2110,15.374,10.139,1.559,0.644,0.657,481.7,0.57,,714.0
AL2111,5.673,1.454,2.974,0.518,0.708,334.8,5.72,B,343.2
AL2112,6.995,0.911,0.259,0.243,0.717,408.3,5.62,B,326.2
AL2113,8.561,3.555,1.329,0.03,0.28,476.0,2.66,C,358.5
AL2114,0.196,0.929,0.58,0.051,0.226,675.3,9.73,B,174.4
AL2115,15.272,8.237,1.176,0.017,0.057,335.8,5.33,B,420.7
AL2116,11.222,9.934,1.205,0.06,0.785,460.5,1.88,C,504.3
AL2117,12.04,2.694,1.17,0.917,0.788,646.6,4.2,A,446.5
AL2118,7.1,2.743,2.334,0.743,0.524,408.8,6.5,A,332.7
AL2119,9.732,3.289,1.755,0.828,0.989,598.0,3.59,C,774.1
AL2120,16.179,0.847,0.835,0.4,0.276,329.3,7.17,B,384.1
AL2121,15.685,2.092,1.737,0.031,0.802,654.0,0.82,C,417.0
AL2122,0.03,11.604,1.638,0.764,0.229,403.4,5.07,B,311.1
AL2123,13.587,9.23,3.773,0.198,0.634,671.1,9.61,C,349.9
AL2124,9.871,9.77,1.588,0.977,0.201,316.7,11.9,C,246.7
AL2125,14.464,10.93,1.271,0.708,0.498,354.4,3.47,C,402.9
AL2126,7.845,10.74,2.071,0.607,0.359,493.9,3.35,C,597.5
AL2127,8.468,2.848,,0.186,0.783,464.5,2.16,A,436.0
AL2128,2.437,5.662,1.615,0.715,0.447,591.2,2.27,B,573.0
AL2129,7.369,5.294,,0.745,0.582,506.2,3.65,A,716.2
AL2130,12.863,3.278,2.832,0.118,0.45,436.7,11.39,B,325.4
AL2131,8.218,4.865,2.901,0.199,0.399,565.6,12.0,C,554.4
AL2132,1.844,11.922,,0.103,0.968,365.5,2.67,B,393.8
AL2133,14.337,7.825,0.751,0.156,0.654,487.7,4.89,A,619.4
AL2134,0.528,3.043,2.637,0.797,0.148,530.0,6.62,C,505.3
AL2135,2.719,4.994,0.344,0.148,0.332,419.9,9.52,B,229.1
AL2136,14.162,8.067,3.504,0.518,0.883,536.7,8.64,C,990.9
AL2137,11.015,8.706,2.369,0.821,0.139,564.6,2.23,C,686.8
AL2138,10.807,9.16,2.032,0.212,0.299,578.9,7.73,A,675.8
AL2139,9.203,5.412,2.454,0.019,0.586,570.7,3.34,A,860.0
AL2140,16.967,4.397,0.774,0.261,0.127,303.3,7.98,C,289.8
AL2141,8.365,5.415,0.622,0.43,0.439,497.6,,C,549.8
AL2142,2.376,4.091,2.726,0.873,0.484,639.9,11.2,A,241.8
AL2143,14.896,9.422,0.496,0.868,0.313,399.0,10.07,B,363.4
AL2144,12.99,6.048,2.981,0.775,0.896,420.2,2.24,B,536.8
AL2145,14.688,7.379,2.699,0.789,0.666,661.8,10.1,A,406.8
AL2146,5.324,4.682,2.841,0.597,0.703,596.3,3.69,A,658.8
AL2147,2.03,9.807,0.929,0.785,0.181,365.0,3.6,A,316.4
AL2148,5.284,10.576,2.467,0.285,0.828,418.8,1.18,A,410.8
AL2149,15.692,0.368,1.643,0.844,0.655,637.3,8.78,C,374.7
AL2150,12.721,0.705,2.355,0.598,0.661,449.3,1.56,B,479.4
AL2151,0.17,2.868,1.233,0.821,0.087,384.1,10.98,B,171.6
AL2152,15.631,10.106,1.01,0.955,0.936,584.5,5.4,C,918.4
AL2153,0.83,8.12,1.555,0.07,0.832,518.6,0.82,B,841.0
AL2154,2.666,6.205,0.146,0.886,0.742,350.6,4.0,A,244.4
AL2155,10.548,3.369,0.846,0.325,0.34,311.1,9.2,B,279.7
AL2156,13.902,4.848,2.91,0.645,0.987,589.5,6.34,A,812.1
AL2157,13.598,7.771,,0.036,0.51,628.8,2.81,A,536.5
AL2158,2.987,10.979,3.428,0.885,0.878,391.7,0.79,C,401.7
AL2159,7.124,0.061,3.424,0.933,0.681,504.3,7.49,B,696.4
AL2160,12.75,4.274,2.486,0.536,0.862,436.4,0.76,C,420.6
AL2161,12.094,5.601,1.676,0.111,0.551,425.3,4.53,A,358.8
AL2162,7.581,6.245,2.018,0.917,0.653,422.3,3.01,B,377.6
AL2163,1.963,4.644,0.648,0.587,0.772,523.8,5.85,B,799.5
AL2164,4.322,1.38,0.652,0.552,0.098,380.7,,B,289.9
AL2165,4.953,5.693,0.614,0.659,0.908,572.9,7.41,A,808.5
AL2166,4.893,4.903,2.052,0.413,0.056,455.7,11.66,C,123.5
AL2167,11.167,8.732,3.544,0.751,0.745,511.0,11.82,A,679.8
AL2168,17.626,10.2,3.925,0.004,0.93,350.6,5.4,A,539.3
AL2169,12.872,5.019,2.252,0.531,0.642,350.8,6.59,C,314.5
AL2170,11.069,8.357,2.759,0.44,0.915,327.6,1.69,B,447.8
AL2171,6.26,6.976,1.343,0.974,0.067,305.7,5.25,A,330.7
AL2172,0.921,8.979,2.207,0.343,0.395,567.8,7.3,A,679.1
AL2173,2.544,1.899,2.095,0.03,0.351,619.2,2.74,A,392.9
AL2174,7.104,11.441,0.525,0.586,0.76,676.7,5.82,B,450.2
AL2175,16.936,5.973,1.463,0.112,0.643,542.6,7.94,A,909.8
AL2176,5.592,2.364,2.607,0.273,0.538,328.0,0.53,A,258.4
AL2177,11.862,8.526,2.68,0.106,0.877,669.0,10.72,A,357.2
AL2178,3.7,4.995,2.403,0.891,0.383,531.7,2.26,C,661.2
AL2179,15.674,7.716,2.521,0.835,0.401,411.5,4.61,A,416.5
AL2180,9.437,4.294,2.544,0.916,0.928,627.0,7.48,C,494.2
AL2181,0.223,1.263,2.51,0.218,0.395,676.6,1.15,B,262.8
AL2182,10.312,4.52,1.691,0.738,0.825,691.3,4.64,A,360.7
AL2183,14.512,11.943,2.573,0.773,0.58,315.8,9.13,C,372.8
AL2184,2.423,3.388,0.662,0.968,0.572,455.9,5.22,B,387.6
AL2185,16.305,4.057,2.723,0.054,0.154,419.3,1.57,B,429.9
AL2186,4.857,4.312,3.789,0.139,0.781,677.2,11.94,B,273.0
AL2187,15.269,6.175,,0.356,0.52,464.8,5.55,B,570.5
AL2188,3.99,3.736,3.595,0.493,0.653,654.6,,C,249.0
AL2189,1.084,9.062,,0.532,0.15,554.2,4.86,C,639.7
AL2190,0.823,3.545,0.071,0.278,0.098,570.1,9.64,,398.7
AL2191,0.917,8.477,3.347,0.931,0.419,330.4,5.9,C,313.1
AL2192,5.434,1.329,1.518,0.735,0.947,305.7,4.81,C,284.9
AL2193,3.04,4.342,1.549,0.647,0.802,351.0,6.22,B,305.2
AL2194,4.303,3.435,1.077,0.706,0.285,591.8,11.26,A,438.0
AL2195,4.628,2.358,3.559,0.083,0.075,545.8,8.92,A,488.3
AL2196,0.553,11.682,1.28,0.193,0.164,413.9,8.11,A,200.2
AL2197,1.61,6.455,2.53,0.634,0.614,363.4,11.36,B,219.6
AL2198,3.887,7.607,2.797,0.577,0.616,336.1,7.09,B,349.3
AL2199,9.74,0.853,1.987,0.606,0.899,454.5,10.26,A,347.1
